3	0.011551	0.011567	0.011560
4	0.014064	0.013985	0.013979
5	0.016440	0.017268	0.016908
6	0.018761	0.018714	0.019705
7	0.021568	0.022641	0.021425
8	0.024554	0.024637	0.025848
9	0.030134	0.030172	0.030028
10	0.032142	0.031229	0.032586
11	0.035611	0.034469	0.034436
12	0.038120	0.038254	0.038178
13	0.042369	0.040546	0.042971
14	0.043440	0.043382	0.045040
15	0.047933	0.049283	0.051113
16	0.047585	0.047578	0.047580
17	0.049067	0.049007	0.052800
18	0.050274	0.051686	0.052930
19	0.052943	0.056310	0.052605
20	0.052099	0.055054	0.055847
