3	0.012104	0.047734	0.044793
4	0.014950	0.054977	0.052138
5	0.017034	0.060106	0.055013
6	0.018955	0.059182	0.055412
7	0.022174	0.065829	0.061840
8	0.030105	0.074034	0.064748
9	0.029702	0.076227	0.071095
10	0.031371	0.073365	0.069887
11	0.039323	0.077892	0.075844
12	0.037941	0.079658	0.074970
13	0.040841	0.082775	0.077822
14	0.050967	0.098408	0.091181
15	0.066465	0.108275	0.092380
16	0.049630	0.091542	0.084601
17	0.050079	0.091598	0.092074
18	0.052849	0.094392	0.087722
19	0.058479	0.103817	0.095435
20	0.051806	0.091835	0.092636
